pitcher_name,game_year,team,pitcher,player_name.x,role,appearences,threat,pressure,momentum,danger,hero_save,hero_hold,hero_losing,hero_total,threat_plus,pressure_plus,momentum_plus,danger_plus,hero_save_plus,hero_hold_plus,hero_losing_plus,hero_plus,player_name.y,avg_danger_final,total_appearances.x,player_name,avg_net_danger,total_appearances.y
Anthony Bass,2023,TOR,542914,"Bass, Anthony",RP,22,0.431242738,-0.039677617,0.005663979,-0.017098741,0.049179272,-0.06110039,0.289479792,0.277558674,93.66442367,80.3300507,98.68394878,80.56964772,91.58277232,90.2318593,94.84572328,88.87161784,"Bass, Anthony",-0.007666069,22,"Bass, Anthony",0.009432672,22
Anthony Bender,2024,MIA,669622,"Bender, Anthony",RP,59,0.452565219,-0.103589371,0.00626992,-0.040803192,0.463783291,1.220935827,0.632286713,2.317005831,100.7874842,101.9397081,104.8869092,102.2698631,94.06368149,104.5871196,103.8775207,98.505463,"Bender, Anthony",-0.010129604,59,"Bender, Anthony",0.030673588,59
Anthony Kay,2023,NYM,641743,"Kay, Anthony",RP,16,0.39974236,-0.035513201,0.006081282,-0.017015086,-0.273601074,-0.079741141,0.127400358,-0.225941858,86.65053725,78.90505139,101.9690904,80.49514588,89.20987616,89.98937401,90.55486434,86.19143775,"Kay, Anthony",-0.005745871,16,"Kay, Anthony",0.011269215,16
Anthony Maldonado,2024,MIA,687424,"Maldonado, Anthony",RP,16,0.463528729,-0.079187752,0.005779301,-0.035744566,-0.573956045,1.217498552,0.192761836,0.836304343,103.6327576,93.46245813,100.4955222,97.79926862,86.79539804,104.5473619,92.24893442,91.23617746,"Maldonado, Anthony",-0.001287236,16,"Maldonado, Anthony",0.03445733,16
Anthony Molina,2024,COL,683627,"Molina, Anthony",RP,35,0.526891092,-0.043034814,0.00676941,-0.019898676,0.003084922,0.135943526,0.83698164,0.976010088,120.0766922,80.90273896,109.3576924,83.79535727,90.83696914,92.03738633,109.2931701,91.92204221,"Molina, Anthony",-0.002823991,35,"Molina, Anthony",0.017074685,35
Aroldis Chapman,2023,TEX,547973,"Chapman, Aroldis",RP,61,0.496873595,-0.152147039,0.004999673,-0.060272965,1.32357188,2.850488973,0.384134893,4.558195746,108.277816,118.8153615,93.45431565,119.0199175,100.9513766,128.1068113,97.35160374,111.6578465,"Chapman, Aroldis",-0.008457258,61,"Chapman, Aroldis",0.051815707,61
Aroldis Chapman,2024,PIT,547973,"Chapman, Aroldis",RP,68,0.506629327,-0.144862097,0.005076233,-0.058947505,2.563962742,1.845416674,0.110618705,4.519998121,114.8183161,116.2780681,94.2025593,118.305021,108.7732516,111.8102751,90.07565929,109.3207287,"Chapman, Aroldis",-0.007586162,68,"Chapman, Aroldis",0.051361343,68
Austin Adams,2023,ATL,613534,"Adams, Austin",RP,24,0.403476557,-0.082190014,0.005831915,-0.029750271,0.222894721,-0.149770899,0.376952538,0.450076359,87.48199513,94.87714084,100.0059926,91.83689669,92.85982877,89.07840292,97.16145948,89.7899455,"Adams, Austin",-0.01633752,24,"Adams, Austin",0.013412769,24
Austin Adams,2024,OAK,613534,"Adams, Austin",RP,56,0.412153829,-0.120062014,0.004565846,-0.042201933,1.302583363,0.048650243,0.294466228,1.645699833,90.29983445,107.6623902,89.63424237,103.5060101,99.93860254,91.0276949,94.93974524,95.20978523,"Adams, Austin",-0.004928073,56,"Adams, Austin",0.03727386,56
Austin Cox,2023,KC,680735,"Cox, Austin",RP,24,0.442781429,-0.111048459,0.006167226,-0.040180122,0.571539479,0.604028792,0.53166285,1.707231121,96.23363311,104.752058,102.6456747,101.1255544,95.42286528,98.88408759,101.2572297,96.48189703,"Cox, Austin",-0.018200838,24,"Cox, Austin",0.021979283,24
